year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2242.0,22.0,2304.0,2345.0,21.0,0,41.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1437.0,16.0,1453.0,1715.0,25.0,0,142.0,1085,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1725.0,32.0,1757.0,1928.0,6.0,0,91.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2000.0,24.0,2024.0,2307.0,6.0,0,283.0,1972,0,64
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2220.0,10.0,2230.0,2341.0,7.0,0,71.0,489,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1748.0,16.0,1804.0,1942.0,11.0,0,98.0,650,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1951.0,31.0,2022.0,2333.0,10.0,0,371.0,2724,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1940.0,17.0,1957.0,2057.0,8.0,0,120.0,806,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1553.0,22.0,1615.0,1830.0,7.0,0,315.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1845.0,18.0,1903.0,2139.0,14.0,0,156.0,1085,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2004.0,32.0,2036.0,2122.0,9.0,0,106.0,675,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1801.0,19.0,1820.0,1901.0,4.0,0,41.0,204,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,957.0,24.0,1021.0,1240.0,11.0,0,319.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1618.0,23.0,1641.0,1723.0,6.0,0,42.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2058.0,11.0,2109.0,2335.0,9.0,0,146.0,1080,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2147.0,24.0,2211.0,1.0,8.0,0,170.0,1197,0,0
